日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
107/03/01,41565,3813383,91.70,91.80,91.50,91.80,-0.10,45,
107/03/02,59398,5402836,91.50,91.50,90.60,90.70,-1.10,56,
107/03/05,23300,2113307,90.80,90.80,90.50,90.70,0.00,26,
107/03/06,28360,2575620,90.70,91.00,90.60,90.90,+0.20,34,
107/03/07,38250,3481100,91.00,91.30,90.60,91.10,+0.20,29,
107/03/08,29580,2689351,91.10,91.10,90.80,91.00,-0.10,38,
107/03/09,14101,1285281,91.00,91.40,90.80,91.10,+0.10,15,
107/03/12,22180,2024060,91.30,91.30,91.10,91.30,+0.20,24,
107/03/13,28509,2608367,91.30,91.70,91.30,91.50,+0.20,47,
107/03/14,13171,1206632,91.60,91.70,91.50,91.60,+0.10,12,
107/03/15,15724,1438286,91.60,91.60,91.20,91.30,-0.30,22,
107/03/16,4429,405037,91.60,91.60,91.30,91.30,0.00,9,
107/03/19,9162,837404,91.30,91.60,91.30,91.40,+0.10,13,
107/03/20,18200,1665557,91.50,91.60,91.40,91.50,+0.10,22,
107/03/21,40371,3694452,91.50,91.70,91.40,91.40,-0.10,38,
107/03/22,40052,3664494,91.40,91.60,91.30,91.50,+0.10,36,
107/03/23,123275,11321864,91.60,92.00,91.50,92.00,+0.50,105,
107/03/26,50646,4647219,92.00,92.00,91.50,92.00,0.00,64,
107/03/27,57958,5344311,92.00,92.40,92.00,92.10,+0.10,61,
107/03/28,46426,4286704,92.10,92.70,91.50,92.20,+0.10,40,
107/03/29,36371,3362727,92.50,92.50,92.30,92.50,+0.30,28,
107/03/30,27323,2528472,92.60,92.60,92.40,92.50,0.00,27,
107/03/31,14200,1320839,92.50,93.20,92.50,92.90,+0.40,15,
107/02/01,24750,2256600,91.20,91.20,91.10,91.20,0.00,15,
107/02/02,10268,938670,91.40,91.50,91.30,91.40,+0.20,13,
107/02/05,24192,2206802,91.40,91.50,90.60,91.50,+0.10,29,
107/02/06,170597,15397762,90.70,90.80,90.00,90.40,-1.10,154,
107/02/07,49542,4489884,91.00,91.10,90.40,90.50,+0.10,54,
107/02/08,42054,3805924,90.50,91.00,90.40,90.60,+0.10,32,
107/02/09,42441,3826182,90.00,90.50,89.90,90.50,-0.10,43,
107/02/12,56167,5064762,90.50,90.50,90.00,90.10,-0.40,61,
107/02/21,72106,6503583,90.50,90.50,89.90,90.20,+0.10,60,
107/02/22,12330,1114827,90.20,90.70,90.20,90.70,+0.50,15,
107/02/23,32702,2977170,90.70,91.40,90.70,91.10,+0.40,40,
107/02/26,29689,2720088,91.30,91.80,91.30,91.60,+0.50,41,
107/02/27,42162,3871634,91.90,92.00,91.60,91.90,+0.30,45,
107/01/02,59403,5352714,90.20,90.30,90.00,90.20,0.00,45,
107/01/03,37311,3389012,90.30,91.20,90.30,91.20,+1.00,39,
107/01/04,24370,2218540,91.30,91.30,90.50,91.20,0.00,23,
107/01/05,76233,6950197,91.20,91.50,91.00,91.50,+0.30,47,
107/01/08,16993,1549655,91.50,91.50,91.00,91.10,-0.40,31,
107/01/09,32058,2924117,91.10,91.50,91.00,91.20,+0.10,28,
107/01/10,27676,2522013,91.20,91.50,91.00,91.00,-0.20,41,
107/01/11,62931,5712621,91.30,91.30,90.20,90.50,-0.50,59,
107/01/12,24187,2197053,90.80,91.30,90.50,90.80,+0.30,27,
107/01/15,9850,896785,91.30,91.30,90.80,91.00,+0.20,24,
107/01/16,14101,1286241,91.00,91.40,91.00,91.30,+0.30,18,
107/01/17,34312,3134504,91.10,91.80,91.00,91.50,+0.20,41,
107/01/18,27648,2533578,91.50,91.80,91.50,91.70,+0.20,41,
107/01/19,30390,2783880,91.70,91.80,91.00,91.80,+0.10,29,
107/01/22,7293,668656,91.80,91.80,91.50,91.70,-0.10,15,
107/01/23,36771,3366832,91.70,91.70,91.10,91.70,0.00,37,
107/01/24,15446,1414296,91.70,91.70,91.30,91.30,-0.40,20,
107/01/25,16105,1471590,91.30,91.60,91.10,91.60,+0.30,14,
107/01/26,31000,2833600,91.60,91.60,91.30,91.30,-0.30,17,
107/01/29,19401,1769770,91.20,91.50,91.10,91.10,-0.20,22,
107/01/30,29645,2699117,91.10,91.10,91.00,91.10,0.00,22,
107/01/31,11000,1003399,91.10,91.20,91.10,91.20,+0.10,11,
106/12/01,15040,1377092,91.10,92.00,91.10,91.30,+0.20,16,
106/12/04,15258,1394336,91.30,91.60,91.10,91.60,+0.30,20,
106/12/05,14920,1366199,91.50,92.00,91.10,91.90,+0.30,25,
106/12/06,47193,4290115,91.90,91.90,90.50,90.50,-1.40,54,
106/12/07,47657,4315087,90.60,91.40,90.30,90.40,-0.10,55,
106/12/08,22562,2042123,90.40,90.80,90.30,90.60,+0.20,25,
106/12/11,32554,2953889,91.90,91.90,90.50,91.00,+0.40,42,
106/12/12,20420,1859930,91.40,91.40,90.70,91.00,0.00,19,
106/12/13,11714,1072031,91.90,91.90,91.00,91.00,0.00,17,
106/12/14,9226,841955,91.70,91.70,91.00,91.00,0.00,13,
106/12/15,5311,483090,91.00,91.00,90.90,90.90,-0.10,13,
106/12/18,18878,1713498,90.90,90.90,90.60,90.70,-0.20,27,
106/12/19,12213,1107983,90.70,90.80,90.60,90.70,0.00,15,
106/12/20,33040,2988852,90.60,90.60,90.30,90.60,-0.10,33,
106/12/21,16538,1496527,90.60,90.60,90.30,90.50,-0.10,18,
106/12/22,9380,848645,90.30,90.50,90.30,90.40,-0.10,12,
106/12/25,16092,1454232,90.30,90.40,90.30,90.30,-0.10,32,
106/12/26,59210,5340910,90.30,90.50,90.10,90.10,-0.20,51,
106/12/27,36056,3253328,90.10,90.50,90.10,90.20,+0.10,36,
106/12/28,68020,6128020,90.20,90.30,90.00,90.10,-0.10,66,
106/12/29,29406,2651546,90.10,90.30,90.10,90.20,+0.10,34,
106/11/01,20845,1882081,90.10,90.80,90.10,90.40,+0.40,34,
106/11/02,12580,1139842,90.40,90.80,90.40,90.50,+0.10,19,
106/11/03,33199,2996866,90.50,90.50,90.00,90.50,0.00,37,
106/11/06,15605,1413655,90.60,90.70,90.50,90.50,0.00,18,
106/11/07,31500,2862998,90.50,91.00,90.50,90.60,+0.10,30,
106/11/08,28548,2598481,90.60,91.10,90.60,91.10,+0.50,46,
106/11/09,58698,5367216,91.20,91.70,91.10,91.60,+0.50,57,
106/11/10,20210,1849894,91.60,91.60,91.20,91.20,-0.40,26,
106/11/13,14774,1346861,91.10,91.50,91.10,91.10,-0.10,30,
106/11/14,17238,1571651,91.10,91.40,91.10,91.20,+0.10,20,
106/11/15,29308,2663479,90.70,91.40,90.60,91.30,+0.10,36,
106/11/16,22057,2002921,90.80,90.90,90.70,90.80,-0.50,19,
106/11/17,40419,3664505,91.00,91.00,90.50,91.00,+0.20,39,
106/11/20,23725,2156316,91.00,91.20,90.60,90.70,-0.30,34,
106/11/21,41199,3747408,90.70,91.20,90.70,91.20,+0.50,32,
106/11/22,26861,2450849,90.80,91.50,90.80,91.50,+0.30,34,
106/11/23,19185,1748185,91.70,91.70,91.00,91.60,+0.10,17,
106/11/24,24065,2195798,91.00,91.50,91.00,91.50,-0.10,22,
106/11/27,25441,2333872,92.00,92.00,91.60,91.60,+0.10,32,
106/11/28,28887,2646832,91.80,91.80,91.50,91.60,0.00,36,
106/11/29,52488,4826696,92.00,92.10,91.70,91.80,+0.20,48,
106/11/30,64855,5918660,91.80,91.80,90.90,91.10,-0.70,63,
106/10/02,12300,1104819,90.00,90.00,89.70,89.70,-0.30,15,
106/10/03,31370,2822700,90.00,90.10,89.80,89.90,+0.20,48,
106/10/05,30098,2711618,90.00,90.40,90.00,90.00,+0.10,31,
106/10/06,22201,1998829,90.00,90.20,90.00,90.20,+0.20,26,
106/10/11,23390,2111238,90.20,90.40,90.10,90.30,+0.10,31,
106/10/12,14223,1283692,90.30,90.40,90.00,90.40,+0.10,18,
106/10/13,32288,2909048,90.40,90.40,89.60,90.00,-0.40,35,
106/10/16,36353,3267823,90.20,90.20,89.80,89.80,-0.20,29,
106/10/17,34587,3105321,89.80,90.00,89.50,90.00,+0.20,40,
106/10/18,20110,1807863,90.00,90.10,89.80,90.10,+0.10,22,
106/10/19,19010,1709903,90.00,90.10,89.80,89.80,-0.30,20,
106/10/20,8155,733226,89.80,90.00,89.60,89.80,0.00,10,
106/10/23,35145,3152521,90.10,90.10,89.50,89.70,-0.10,30,
106/10/24,8064,725111,89.70,90.00,89.70,90.00,+0.30,9,
106/10/25,18100,1627649,90.00,90.00,89.70,89.70,-0.30,18,
106/10/26,19093,1721984,90.20,90.20,90.10,90.20,+0.50,39,
106/10/27,23070,2082856,90.30,90.40,90.20,90.20,0.00,22,
106/10/30,25072,2257522,90.20,90.20,89.90,90.00,-0.20,28,
106/10/31,17011,1530916,90.00,90.00,89.90,90.00,0.00,18,
106/09/01,13459,1214499,90.30,90.30,90.10,90.10,-0.20,34,
106/09/04,24201,2179129,90.30,90.30,89.50,89.70,-0.40,27,
106/09/05,15160,1362579,89.80,90.00,89.80,89.80,+0.10,16,
106/09/06,17267,1552597,89.80,90.00,89.80,89.90,+0.10,18,
106/09/07,37712,3388680,89.80,90.00,89.80,90.00,+0.10,58,
106/09/08,25259,2273364,90.10,90.20,89.90,89.90,-0.10,30,
106/09/11,42679,3842941,90.10,90.20,89.90,89.90,0.00,51,
106/09/12,20624,1859668,90.00,90.30,89.90,90.30,+0.40,28,
106/09/13,22856,2062696,90.30,90.30,90.10,90.10,-0.20,26,
106/09/14,41482,3753162,90.30,90.60,90.30,90.30,+0.20,41,
106/09/15,35175,3166525,89.50,90.50,89.50,90.00,-0.30,34,
106/09/18,38270,3441706,90.00,90.00,89.90,89.90,-0.10,33,
106/09/19,20200,1819019,90.40,90.40,89.90,90.00,+0.10,24,
106/09/20,44000,3957100,90.00,90.40,89.60,89.80,-0.20,37,
106/09/21,24881,2231973,89.50,90.00,89.50,89.80,0.00,33,
106/09/22,39250,3534698,89.80,90.30,89.80,90.10,+0.30,36,
106/09/25,56151,5039092,90.10,90.10,89.60,89.90,-0.20,50,
106/09/26,13083,1173336,90.00,90.00,89.50,89.60,-0.30,16,
106/09/27,32130,2880539,89.60,89.80,89.60,89.80,+0.20,27,
106/09/28,13010,1168315,89.60,90.00,89.60,89.90,+0.10,13,
106/09/29,36076,3239769,90.00,90.00,89.70,89.90,0.00,36,
106/09/30,47201,4225890,89.50,90.00,89.40,90.00,+0.10,28,
106/12/01,15040,1377092,91.10,92.00,91.10,91.30,+0.20,16,
106/12/04,15258,1394336,91.30,91.60,91.10,91.60,+0.30,20,
106/12/05,14920,1366199,91.50,92.00,91.10,91.90,+0.30,25,
106/12/06,47193,4290115,91.90,91.90,90.50,90.50,-1.40,54,
106/12/07,47657,4315087,90.60,91.40,90.30,90.40,-0.10,55,
106/12/08,22562,2042123,90.40,90.80,90.30,90.60,+0.20,25,
106/12/11,32554,2953889,91.90,91.90,90.50,91.00,+0.40,42,
106/12/12,20420,1859930,91.40,91.40,90.70,91.00,0.00,19,
106/12/13,11714,1072031,91.90,91.90,91.00,91.00,0.00,17,
106/12/14,9226,841955,91.70,91.70,91.00,91.00,0.00,13,
106/12/15,5311,483090,91.00,91.00,90.90,90.90,-0.10,13,
106/12/18,18878,1713498,90.90,90.90,90.60,90.70,-0.20,27,
106/12/19,12213,1107983,90.70,90.80,90.60,90.70,0.00,15,
106/12/20,33040,2988852,90.60,90.60,90.30,90.60,-0.10,33,
106/12/21,16538,1496527,90.60,90.60,90.30,90.50,-0.10,18,
106/12/22,9380,848645,90.30,90.50,90.30,90.40,-0.10,12,
106/12/25,16092,1454232,90.30,90.40,90.30,90.30,-0.10,32,
106/12/26,59210,5340910,90.30,90.50,90.10,90.10,-0.20,51,
106/12/27,36056,3253328,90.10,90.50,90.10,90.20,+0.10,36,
106/12/28,68020,6128020,90.20,90.30,90.00,90.10,-0.10,66,
106/12/29,29406,2651546,90.10,90.30,90.10,90.20,+0.10,34,
106/11/01,20845,1882081,90.10,90.80,90.10,90.40,+0.40,34,
106/11/02,12580,1139842,90.40,90.80,90.40,90.50,+0.10,19,
106/11/03,33199,2996866,90.50,90.50,90.00,90.50,0.00,37,
106/11/06,15605,1413655,90.60,90.70,90.50,90.50,0.00,18,
106/11/07,31500,2862998,90.50,91.00,90.50,90.60,+0.10,30,
106/11/08,28548,2598481,90.60,91.10,90.60,91.10,+0.50,46,
106/11/09,58698,5367216,91.20,91.70,91.10,91.60,+0.50,57,
106/11/10,20210,1849894,91.60,91.60,91.20,91.20,-0.40,26,
106/11/13,14774,1346861,91.10,91.50,91.10,91.10,-0.10,30,
106/11/14,17238,1571651,91.10,91.40,91.10,91.20,+0.10,20,
106/11/15,29308,2663479,90.70,91.40,90.60,91.30,+0.10,36,
106/11/16,22057,2002921,90.80,90.90,90.70,90.80,-0.50,19,
106/11/17,40419,3664505,91.00,91.00,90.50,91.00,+0.20,39,
106/11/20,23725,2156316,91.00,91.20,90.60,90.70,-0.30,34,
106/11/21,41199,3747408,90.70,91.20,90.70,91.20,+0.50,32,
106/11/22,26861,2450849,90.80,91.50,90.80,91.50,+0.30,34,
106/11/23,19185,1748185,91.70,91.70,91.00,91.60,+0.10,17,
106/11/24,24065,2195798,91.00,91.50,91.00,91.50,-0.10,22,
106/11/27,25441,2333872,92.00,92.00,91.60,91.60,+0.10,32,
106/11/28,28887,2646832,91.80,91.80,91.50,91.60,0.00,36,
106/11/29,52488,4826696,92.00,92.10,91.70,91.80,+0.20,48,
106/11/30,64855,5918660,91.80,91.80,90.90,91.10,-0.70,63,
106/10/02,12300,1104819,90.00,90.00,89.70,89.70,-0.30,15,
106/10/03,31370,2822700,90.00,90.10,89.80,89.90,+0.20,48,
106/10/05,30098,2711618,90.00,90.40,90.00,90.00,+0.10,31,
106/10/06,22201,1998829,90.00,90.20,90.00,90.20,+0.20,26,
106/10/11,23390,2111238,90.20,90.40,90.10,90.30,+0.10,31,
106/10/12,14223,1283692,90.30,90.40,90.00,90.40,+0.10,18,
106/10/13,32288,2909048,90.40,90.40,89.60,90.00,-0.40,35,
106/10/16,36353,3267823,90.20,90.20,89.80,89.80,-0.20,29,
106/10/17,34587,3105321,89.80,90.00,89.50,90.00,+0.20,40,
106/10/18,20110,1807863,90.00,90.10,89.80,90.10,+0.10,22,
106/10/19,19010,1709903,90.00,90.10,89.80,89.80,-0.30,20,
106/10/20,8155,733226,89.80,90.00,89.60,89.80,0.00,10,
106/10/23,35145,3152521,90.10,90.10,89.50,89.70,-0.10,30,
106/10/24,8064,725111,89.70,90.00,89.70,90.00,+0.30,9,
106/10/25,18100,1627649,90.00,90.00,89.70,89.70,-0.30,18,
106/10/26,19093,1721984,90.20,90.20,90.10,90.20,+0.50,39,
106/10/27,23070,2082856,90.30,90.40,90.20,90.20,0.00,22,
106/10/30,25072,2257522,90.20,90.20,89.90,90.00,-0.20,28,
106/10/31,17011,1530916,90.00,90.00,89.90,90.00,0.00,18,
106/09/01,13459,1214499,90.30,90.30,90.10,90.10,-0.20,34,
106/09/04,24201,2179129,90.30,90.30,89.50,89.70,-0.40,27,
106/09/05,15160,1362579,89.80,90.00,89.80,89.80,+0.10,16,
106/09/06,17267,1552597,89.80,90.00,89.80,89.90,+0.10,18,
106/09/07,37712,3388680,89.80,90.00,89.80,90.00,+0.10,58,
106/09/08,25259,2273364,90.10,90.20,89.90,89.90,-0.10,30,
106/09/11,42679,3842941,90.10,90.20,89.90,89.90,0.00,51,
106/09/12,20624,1859668,90.00,90.30,89.90,90.30,+0.40,28,
106/09/13,22856,2062696,90.30,90.30,90.10,90.10,-0.20,26,
106/09/14,41482,3753162,90.30,90.60,90.30,90.30,+0.20,41,
106/09/15,35175,3166525,89.50,90.50,89.50,90.00,-0.30,34,
106/09/18,38270,3441706,90.00,90.00,89.90,89.90,-0.10,33,
106/09/19,20200,1819019,90.40,90.40,89.90,90.00,+0.10,24,
106/09/20,44000,3957100,90.00,90.40,89.60,89.80,-0.20,37,
106/09/21,24881,2231973,89.50,90.00,89.50,89.80,0.00,33,
106/09/22,39250,3534698,89.80,90.30,89.80,90.10,+0.30,36,
106/09/25,56151,5039092,90.10,90.10,89.60,89.90,-0.20,50,
106/09/26,13083,1173336,90.00,90.00,89.50,89.60,-0.30,16,
106/09/27,32130,2880539,89.60,89.80,89.60,89.80,+0.20,27,
106/09/28,13010,1168315,89.60,90.00,89.60,89.90,+0.10,13,
106/09/29,36076,3239769,90.00,90.00,89.70,89.90,0.00,36,
106/09/30,47201,4225890,89.50,90.00,89.40,90.00,+0.10,28,
106/08/01,28385,2614511,92.50,92.50,91.70,91.70,-0.30,35,
106/08/02,39544,3625480,92.50,92.50,91.50,91.60,-0.10,51,
106/08/03,34500,3163750,91.70,92.00,91.40,92.00,+0.40,32,
106/08/04,88180,8046404,91.00,91.90,91.00,91.30,-0.70,81,
106/08/07,94601,8608069,91.30,91.30,90.80,90.80,-0.50,92,
106/08/08,57762,5229342,90.80,90.80,90.20,90.50,-0.30,65,
106/08/09,16165,1464797,90.50,90.80,90.50,90.80,+0.30,18,
106/08/10,45777,4145445,90.50,90.80,90.50,90.60,-0.20,53,
106/08/11,142521,12791190,90.20,90.50,89.50,89.90,-0.70,150,
106/08/14,190157,16808851,89.60,89.60,88.10,88.30,-1.60,179,
106/08/15,152882,13473216,88.40,88.90,87.80,88.30,0.00,148,
106/08/16,74422,6560246,88.00,88.40,88.00,88.00,-0.30,74,
106/08/17,34025,3020550,88.30,89.00,88.30,89.00,+1.00,40,
106/08/18,42378,3772930,89.00,89.30,88.80,88.90,-0.10,44,
106/08/21,30151,2693514,88.90,89.90,88.90,89.90,+1.00,47,
106/08/22,40931,3685736,89.90,90.50,89.70,90.50,+0.60,48,
106/08/23,58655,5298310,90.50,90.50,90.10,90.20,-0.30,60,
106/08/24,24141,2170490,90.20,90.40,89.80,89.80,-0.40,34,
106/08/25,41013,3702577,89.80,91.00,89.40,90.40,+0.60,50,
106/08/28,30507,2762781,90.40,91.00,90.00,90.40,0.00,40,
106/08/29,28123,2430931,90.20,90.20,90.10,90.20,-0.20,18,
106/08/30,19545,1761531,90.20,90.20,90.00,90.00,-0.20,21,
106/08/31,12740,1148567,90.00,90.30,90.00,90.30,+0.30,21,
106/07/03,191306,18179128,95.30,95.50,94.70,95.00,-0.30,126,
106/07/04,267945,25592030,96.00,96.00,95.30,95.50,+0.50,225,
106/07/05,364675,33741736,91.10,94.30,91.10,92.70,X0.00,311,
106/07/06,70528,6527904,92.70,92.90,92.20,92.30,-0.40,79,
106/07/07,79397,7312898,92.40,92.60,92.00,92.20,-0.10,73,
