107/03/01,1059056,19118408,17.65,18.30,17.60,18.20,+0.40,339,
107/03/02,257656,4611725,18.10,18.10,17.80,17.90,-0.30,202,
107/03/05,279232,4950161,18.00,18.00,17.65,17.65,-0.25,229,
107/03/06,554722,9757766,17.80,17.80,17.50,17.50,-0.15,269,
107/03/07,218001,3810292,17.40,17.60,17.35,17.45,-0.05,162,
107/03/08,1713047,31159188,17.50,18.60,17.45,18.30,+0.85,746,
107/03/09,655499,11815676,18.25,18.25,17.85,17.85,-0.45,406,
107/03/12,483146,8587596,17.85,17.95,17.70,17.75,-0.10,359,
107/03/13,491021,8776163,17.70,18.00,17.70,17.90,+0.15,393,
107/03/14,702813,12607691,17.85,18.15,17.70,17.75,-0.15,445,
107/03/15,227926,4062739,17.95,17.95,17.75,17.80,+0.05,198,
107/03/16,417488,7436207,17.85,17.85,17.75,17.85,+0.05,176,
107/03/19,200088,3555644,17.85,17.85,17.70,17.70,-0.15,202,
107/03/20,362291,6348264,17.70,17.70,17.35,17.50,-0.20,302,
107/03/21,223456,3923434,17.50,17.70,17.50,17.55,+0.05,219,
107/03/22,243010,4263700,17.50,17.70,17.50,17.50,-0.05,172,
107/03/23,377947,6469365,17.05,17.25,17.00,17.15,-0.35,592,
107/03/26,413054,6975236,17.05,17.10,16.75,16.90,-0.25,676,
107/03/27,257138,4386546,17.00,17.20,17.00,17.10,+0.20,682,
107/03/28,329022,5549990,17.05,17.05,16.80,16.90,-0.20,398,
107/03/29,265506,4522825,17.05,17.10,17.00,17.00,+0.10,373,
107/03/30,183269,3108413,17.00,17.10,16.90,16.95,-0.05,313,
107/03/31,115251,1946350,16.95,17.00,16.80,16.85,-0.10,188,
107/02/01,391178,7302035,18.65,18.80,18.60,18.60,+0.05,194,
107/02/02,425008,7872373,18.60,18.70,18.45,18.45,-0.15,219,
107/02/05,501115,9062968,18.20,18.20,18.05,18.05,-0.40,248,
107/02/06,1749067,29553824,17.85,17.85,16.25,16.50,-1.55,713,
107/02/07,564764,9692100,17.10,17.40,16.90,17.10,+0.60,322,
107/02/08,492689,8382138,17.10,17.20,16.90,17.20,+0.10,212,
107/02/09,670466,11184018,16.25,17.10,16.15,17.10,-0.10,313,
107/02/12,406909,6904568,17.10,17.10,16.85,16.95,-0.15,216,
107/02/21,440030,7528401,17.20,17.25,16.95,17.25,+0.30,306,
107/02/22,1212553,21852488,17.40,18.30,17.40,18.00,+0.75,767,
107/02/23,681486,12250345,18.20,18.30,17.80,17.95,-0.05,421,
107/02/26,304081,5437004,17.95,18.00,17.80,17.85,-0.10,296,
107/02/27,289966,5171829,17.90,17.90,17.80,17.80,-0.05,169,
107/01/02,262702,4978750,19.00,19.00,18.90,18.90,+0.10,181,
107/01/03,501467,9486610,19.00,19.05,18.75,19.00,+0.10,267,
107/01/04,557077,10539493,18.95,19.00,18.85,18.95,-0.05,246,
107/01/05,546043,10438059,18.95,19.20,18.95,19.15,+0.20,291,
107/01/08,571960,10894672,19.20,19.25,18.85,18.90,-0.25,296,
107/01/09,730619,13896161,18.90,19.30,18.80,19.15,+0.25,395,
107/01/10,784991,15007229,19.20,19.25,19.10,19.10,-0.05,202,
107/01/11,1924459,37216157,19.10,19.45,19.10,19.20,+0.10,518,
107/01/12,519440,9957360,19.20,19.25,19.10,19.15,-0.05,223,
107/01/15,445165,8483085,19.10,19.15,19.00,19.05,-0.10,234,
107/01/16,374792,7132748,19.05,19.15,19.00,19.05,0.00,196,
107/01/17,413400,7853713,19.10,19.15,18.90,18.95,-0.10,279,
107/01/18,311192,5897746,19.00,19.05,18.90,18.90,-0.05,230,
107/01/19,606438,11460654,18.95,19.00,18.80,19.00,+0.10,286,
107/01/22,591454,11191998,19.00,19.00,18.85,18.85,-0.15,293,
107/01/23,351640,6634206,19.00,19.00,18.80,18.80,-0.05,245,
107/01/24,1532042,29317192,18.85,19.30,18.80,18.90,+0.10,512,
107/01/25,220686,4199078,19.00,19.15,18.95,19.00,+0.10,180,
107/01/26,348721,6594373,19.10,19.10,18.80,18.85,-0.15,203,
107/01/29,368487,6935962,19.00,19.00,18.80,18.80,-0.05,186,
107/01/30,420871,7872504,18.80,18.80,18.65,18.70,-0.10,256,
